Bacterium, Iteration Born, Iteration Died, Life Span, Generation, Parent Bacterium, Number of Offspring, Alive at End
277,45,51,6,7,40,1,0
278,45,51,6,6,42,1,0
279,45,53,8,5,53,1,0
280,45,53,8,6,54,1,0
281,45,46,1,8,62,0,0
282,45,54,9,5,65,2,0
283,45,46,1,5,66,0,0
284,45,50,5,6,71,0,0
285,45,49,4,8,75,0,0
286,45,48,3,8,84,0,0
287,45,55,10,9,86,2,0
288,45,48,3,9,88,0,0
289,45,46,1,7,100,0,0
290,45,54,9,8,101,1,0
291,45,54,9,9,105,1,0
292,45,56,11,6,108,2,0
293,45,48,3,8,110,0,0
294,45,47,2,6,111,0,0
295,45,49,4,8,113,0,0
296,45,57,12,9,114,1,0
297,48,53,5,7,39,0,0
298,48,48,0,6,42,0,0
299,48,64,16,5,53,3,0
300,48,48,0,6,54,0,0
301,48,56,8,8,62,0,0
302,48,51,3,6,71,0,0
303,48,52,4,9,88,0,0
304,48,49,1,8,101,0,0
305,48,53,5,9,105,0,0
306,48,51,3,6,108,0,0
307,48,48,0,8,110,0,0
308,48,48,0,6,111,0,0
309,48,48,0,8,113,0,0
310,48,53,5,9,114,0,0
311,48,53,5,9,117,0,0
312,48,53,5,9,119,0,0
313,50,53,3,10,124,0,0
314,50,53,3,5,127,0,0
315,50,53,3,8,277,0,0
316,50,53,3,7,278,0,0
317,50,53,3,6,279,0,0
318,50,53,3,7,280,0,0
319,50,53,3,6,282,0,0
320,50,53,3,10,287,0,0
321,51,57,6,6,42,0,0
322,51,53,2,5,53,0,0
323,51,62,11,6,54,2,0
324,51,64,13,8,62,2,0
325,51,53,2,6,71,0,0
326,51,56,5,9,88,0,0
327,51,55,4,9,105,0,0
328,51,58,7,6,108,0,0
329,51,63,12,6,111,2,0
330,51,64,13,8,113,2,0
331,51,56,5,9,114,0,0
332,51,57,6,9,119,0,0
333,52,58,6,8,130,1,0
334,52,54,2,8,142,0,0
335,52,60,8,9,290,1,0
336,52,52,0,10,291,0,0
337,52,59,7,7,292,0,0
338,53,53,0,10,124,0,0
339,53,59,6,5,127,0,0
340,53,53,0,6,282,0,0
341,53,53,0,10,287,0,0
342,54,83,29,6,42,8,0
343,54,61,7,5,53,0,0
344,54,57,3,6,54,0,0
345,54,57,3,8,62,0,0
346,54,57,3,6,71,0,0
347,54,54,0,9,105,0,0
348,54,57,3,6,111,0,0
349,54,55,1,9,114,0,0
350,54,56,2,10,296,0,0
351,55,79,24,8,142,6,0
352,55,60,5,7,292,0,0
353,56,76,20,5,127,5,0
354,57,61,4,6,42,1,0
355,57,80,23,5,53,7,0
356,57,57,0,6,54,0,0
357,57,81,24,8,62,7,0
358,57,81,24,6,71,7,0
359,57,61,4,9,105,0,0
360,57,80,23,6,111,6,0
361,57,60,3,9,114,0,0
362,57,57,0,6,299,0,0
363,57,58,1,9,333,0,0
364,58,73,15,8,142,3,0
365,58,65,7,7,323,0,0
366,58,59,1,9,324,0,0
367,58,64,6,7,329,0,0
368,58,61,3,9,330,0,0
369,59,76,17,5,127,4,0
370,59,60,1,10,335,0,0
371,60,62,2,6,42,0,0
372,60,68,8,5,53,1,0
373,60,60,0,6,54,0,0
374,60,75,15,8,62,4,0
375,60,71,11,6,71,2,0
376,60,69,9,9,114,1,0
377,60,62,2,6,299,0,0
378,60,68,8,7,354,1,0
379,60,89,29,6,355,8,0
380,61,69,8,7,323,1,0
381,61,61,0,9,324,0,0
382,61,64,3,7,329,0,0
383,61,64,3,9,330,0,0
384,61,64,3,7,342,0,0
385,61,64,3,6,353,0,0
386,62,75,13,9,351,2,0
387,62,62,0,9,357,0,0
388,62,72,10,7,358,1,0
389,62,103,41,7,360,12,0
390,63,70,7,5,53,1,0
391,63,73,10,6,54,2,0
392,63,70,7,6,71,1,0
393,63,71,8,9,114,1,0
394,63,64,1,6,299,0,0
395,63,70,7,6,355,0,0
396,64,94,30,7,342,7,0
397,64,66,2,6,353,0,0
398,64,67,3,6,369,0,0
399,65,68,3,9,351,0,0
400,65,68,3,9,357,0,0
401,65,68,3,7,358,0,0
402,65,68,3,7,360,0,0
403,65,67,2,9,364,0,0
404,65,68,3,6,372,0,0
405,65,68,3,9,374,0,0
406,65,65,0,7,375,0,0
407,66,69,3,5,53,0,0
408,66,67,1,6,54,0,0
409,66,71,5,6,355,0,0
410,67,78,11,7,342,2,0
411,67,68,1,6,353,0,0
412,67,69,2,6,369,0,0
413,67,67,0,10,376,0,0
414,67,69,2,8,378,0,0
415,67,87,20,7,379,5,0
416,68,71,3,9,351,0,0
417,68,71,3,9,357,0,0
418,68,68,0,7,358,0,0
419,68,68,0,7,360,0,0
420,68,68,0,9,364,0,0
421,68,79,11,9,374,2,0
422,68,70,2,7,375,0,0
423,68,71,3,8,380,0,0
424,68,71,3,6,390,0,0
425,68,71,3,7,391,0,0
426,68,69,1,7,392,0,0
427,68,71,3,10,393,0,0
428,69,78,9,6,54,1,0
429,69,81,12,6,355,2,0
430,69,71,2,10,386,0,0
431,69,108,39,8,388,11,0
432,69,77,8,8,389,1,0
433,70,80,10,7,342,2,0
434,70,75,5,6,353,0,0
435,70,75,5,6,369,0,0
436,70,76,6,7,379,0,0
437,71,75,4,9,351,0,0
438,71,76,5,9,357,0,0
439,71,74,3,7,358,0,0
440,71,74,3,7,360,0,0
441,71,74,3,9,364,0,0
442,71,71,0,9,374,0,0
443,71,74,3,7,391,0,0
444,72,72,0,6,54,0,0
445,72,72,0,6,355,0,0
446,72,80,8,10,386,1,0
447,72,75,3,8,389,0,0
448,72,85,13,8,410,2,0
449,72,73,1,8,415,0,0
450,73,76,3,7,342,0,0
451,73,74,1,6,353,0,0
452,73,76,3,6,369,0,0
453,73,74,1,7,379,0,0
454,73,76,3,8,396,0,0
455,73,76,3,10,421,0,0
456,74,91,17,9,351,4,0
457,74,74,0,9,357,0,0
458,74,78,4,7,358,0,0
459,74,109,35,7,360,10,0
460,74,94,20,9,374,5,0
461,75,87,12,6,54,3,0
462,75,87,12,6,355,3,0
463,75,87,12,8,389,2,0
464,75,76,1,8,410,0,0
465,75,77,2,8,415,0,0
466,75,75,0,8,433,0,0
467,76,92,16,7,342,4,0
468,76,89,13,7,379,3,0
469,76,79,3,8,396,0,0
470,76,76,0,10,421,0,0
471,76,79,3,7,428,0,0
472,76,79,3,7,429,0,0
473,76,79,3,9,431,0,0
474,76,79,3,9,432,0,0
475,77,87,10,9,351,1,0
476,77,93,16,9,357,3,0
477,77,78,1,7,358,0,0
478,77,92,15,7,360,3,0
479,78,82,4,6,54,0,0
480,78,79,1,6,355,0,0
481,78,89,11,8,389,2,0
482,78,109,31,8,415,9,0
483,78,78,0,8,433,0,0
484,79,84,5,7,342,0,0
485,79,90,11,7,379,2,0
486,79,79,0,8,396,0,0
487,79,108,29,7,429,8,0
488,79,80,1,9,431,0,0
489,79,80,1,11,446,0,0
490,79,82,3,9,448,0,0
491,80,83,3,9,357,0,0
492,80,89,9,7,358,1,0
493,80,104,24,7,461,6,0
494,80,83,3,7,462,0,0
495,81,84,3,6,54,0,0
496,81,84,3,8,389,0,0
497,81,84,3,8,415,0,0
498,81,84,3,10,456,0,0
499,81,81,0,8,459,0,0
500,81,84,3,10,460,0,0
501,81,83,2,8,467,0,0
502,82,96,14,7,342,3,0
503,82,87,5,7,379,0,0
504,82,90,8,8,396,1,0
505,82,82,0,9,431,0,0
506,82,82,0,9,448,0,0
507,82,84,2,9,463,0,0
508,82,87,5,8,468,0,0
509,83,84,1,7,461,0,0
510,83,93,10,7,462,1,0
511,83,90,7,9,481,0,0
512,83,86,3,9,482,0,0
513,84,87,3,8,389,0,0
514,84,87,3,8,415,0,0
515,84,84,0,10,456,0,0
516,84,87,3,8,459,0,0
517,84,87,3,10,460,0,0
518,84,87,3,8,467,0,0
519,84,85,1,10,475,0,0
520,84,87,3,10,476,0,0
521,84,85,1,8,478,0,0
522,84,87,3,8,485,0,0
523,84,87,3,8,487,0,0
524,85,87,2,7,379,0,0
525,85,85,0,8,396,0,0
526,85,86,1,9,431,0,0
527,85,85,0,9,463,0,0
528,85,105,20,8,468,5,0
529,86,90,4,7,461,0,0
530,86,88,2,7,462,0,0
531,86,89,3,9,481,0,0
532,86,95,9,9,482,2,0
533,87,89,2,8,389,0,0
534,87,94,7,10,456,2,0
535,87,91,4,8,459,0,0
536,87,87,0,10,460,0,0
537,87,107,20,8,467,5,0
538,87,100,13,10,476,3,0
539,87,95,8,8,478,1,0
540,87,98,11,8,485,2,0
541,87,92,5,8,487,0,0
542,87,96,9,8,492,1,0
543,88,90,2,7,379,0,0
544,88,108,20,8,396,5,0
545,88,91,3,9,431,0,0
546,88,91,3,8,468,0,0
547,88,91,3,8,493,0,0
548,89,101,12,9,482,2,0
